ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Transcription,AlternativeValue,AlternativeTranscription
endepapuanewguinea-2-490-1,,endepapuanewguinea,2-490,kok,kok,,also: masar (for males),Lindsey2019,,,standardorth,kok,phonetic
endepapuanewguinea-2-511-1,,endepapuanewguinea,2-511,pope,pope,,,Lindsey2019,,,standardorth,pope,phonetic
endepapuanewguinea-2-512-1,,endepapuanewguinea,2-512,meyang,meyang,,also: mädaolle (older),Lindsey2019,,,standardorth,mejaŋ,phonetic
endepapuanewguinea-2-520-1,,endepapuanewguinea,2-520,nane,nane,,also: mällpa,Lindsey2019,,,standardorth,nane,phonetic
endepapuanewguinea-2-530-1,,endepapuanewguinea,2-530,llɨg,llɨg,,,Lindsey2019,,,standardorth,ɽɪɡ,phonetic
endepapuanewguinea-2-540-1,,endepapuanewguinea,2-540,män,män,,,Lindsey2019,,,standardorth,mən,phonetic
endepapuanewguinea-2-550-1,,endepapuanewguinea,2-550,yäkäl,yäkäl,,,Lindsey2019,,,standardorth,jəkəl,phonetic
endepapuanewguinea-2-560-1,,endepapuanewguinea,2-560,masamasar,masamasar,,also: kakak,Lindsey2019,,,standardorth,masamasar,phonetic
endepapuanewguinea-2-570-1,,endepapuanewguinea,2-570,masamasar,masamasar,,also: kokok,Lindsey2019,,,standardorth,masamasar,phonetic
endepapuanewguinea-2-610-1,,endepapuanewguinea,2-610,mänang,mänang,,,Lindsey2019,,,standardorth,mənaŋ,phonetic
endepapuanewguinea-2-611-1,,endepapuanewguinea,2-611,masar,masar,,,Lindsey2019,,,standardorth,masar,phonetic
endepapuanewguinea-2-620-1,,endepapuanewguinea,2-620,mänang,mänang,,,Lindsey2019,,,standardorth,mənaŋ,phonetic
endepapuanewguinea-2-621-1,,endepapuanewguinea,2-621,kak,kak,,,Lindsey2019,,,standardorth,kak,phonetic
endepapuanewguinea-2-630-1,,endepapuanewguinea,2-630,mänang,mänang,,,Lindsey2019,,,standardorth,mənaŋ,phonetic
endepapuanewguinea-2-631-1,,endepapuanewguinea,2-631,mänang,mänang,,,Lindsey2019,,,standardorth,mənaŋ,phonetic
endepapuanewguinea-2-640-1,,endepapuanewguinea,2-640,kok,kok,,,Lindsey2019,,,standardorth,kok,phonetic
endepapuanewguinea-2-641-1,,endepapuanewguinea,2-641,kok,kok,,,Lindsey2019,,,standardorth,kok,phonetic
endepapuanewguinea-2-710-1,,endepapuanewguinea,2-710,mändmändag baba,mändmändag baba,,also: mändmändag mäda,Lindsey2019,,,standardorth,məndməndaɡ baba,phonetic
endepapuanewguinea-2-720-1,,endepapuanewguinea,2-720,mändmändag yae,mändmändag yae,,also: mändmändag mäg,Lindsey2019,,,standardorth,məndməndaɡ jaj,phonetic
endepapuanewguinea-2-750-1,,endepapuanewguinea,2-750,tärbatt,tärbatt,,,Lindsey2019,,,standardorth,tərbaʈᶳ,phonetic
endepapuanewguinea-2-760-1,,endepapuanewguinea,2-760,mik,mik,,,Lindsey2019,,,standardorth,mik,phonetic
endepapuanewguinea-2-770-1,,endepapuanewguinea,2-770,mik,mik,,also: sat,Lindsey2019,,,standardorth,mik,phonetic
endepapuanewguinea-2-810-1,,endepapuanewguinea,2-810,llabun,llabun,,,Lindsey2019,,,standardorth,ɽabun,phonetic
endepapuanewguinea-2-820-1,,endepapuanewguinea,2-820,pemli,pemli,,,Lindsey2019,,,standardorth,pemli,phonetic
endepapuanewguinea-2-910-1,,endepapuanewguinea,2-910,ngäna,ngäna,,,Lindsey2019,,,standardorth,ŋəna,phonetic
endepapuanewguinea-2-920-1,,endepapuanewguinea,2-920,bongo,bongo,,,Lindsey2019,,,standardorth,boŋo,phonetic
endepapuanewguinea-2-930-1,,endepapuanewguinea,2-930,bogo,bogo,,,Lindsey2019,,,standardorth,boɡo,phonetic
endepapuanewguinea-2-941-1,,endepapuanewguinea,2-941,ibi,ibi,,,Lindsey2019,,,standardorth,ibi,phonetic
endepapuanewguinea-2-942-1,,endepapuanewguinea,2-942,ngämi,ngämi,,,Lindsey2019,,,standardorth,ŋəmi,phonetic
endepapuanewguinea-2-950-1,,endepapuanewguinea,2-950,bibi,bibi,,,Lindsey2019,,,standardorth,bibi,phonetic
endepapuanewguinea-2-960-1,,endepapuanewguinea,2-960,ubi,ubi,,,Lindsey2019,,,standardorth,ubi,phonetic
endepapuanewguinea-3-110-1,,endepapuanewguinea,3-110,ddäddäg,ddäddäg,,edible,Lindsey2019,,,standardorth,ɖᶼəɖᶼəɡ,phonetic
endepapuanewguinea-3-120-1,,endepapuanewguinea,3-120,lla,lla,,also: gullbe,Lindsey2019,,,standardorth,ɽa,phonetic
endepapuanewguinea-3-130-1,,endepapuanewguinea,3-130,mälla,mälla,,also: mägda,Lindsey2019,,,standardorth,məɽa,phonetic
endepapuanewguinea-3-150-1,,endepapuanewguinea,3-150,mändnanang ddäddäg,mändnanang ddäddäg,,,Lindsey2019,,,standardorth,məndnanaŋ ɖᶼəɖᶼəɡ,phonetic
endepapuanewguinea-3-320-1,,endepapuanewguinea,3-320,sɨmell gullbe,sɨmell gullbe,,,Lindsey2019,,,standardorth,sɪmeɽ ɡuɽbe,phonetic
